,Unnamed: 0,username,video_title,publish_time,view_count,comment_count,like_count,dislike count,api_call_time
0,0,HYBE LABELS,BTS (방탄소년단) &#39;Butter&#39; Official Teaser,2021-05-18T15:00:02Z,31702002,1015634,3662630,20321,2021-05-19T17:47:58.365526
1,1,Liverpool FC,Highlights: West Brom 1-2 Liverpool | ALISSON heads the winner in injury time!,2021-05-16T19:34:39Z,7957409,5368,137974,3212,2021-05-19T17:47:58.365526
2,2,Bella Poarch,Bella Poarch - Build a B*tch (Official Music Video),2021-05-14T04:00:16Z,63530789,267211,4857249,127940,2021-05-19T17:47:58.365526
3,3,TWICE,JIHYO PERFORMANCE PROJECT &quot;Crown (Camila Cabello &amp; Grey)&quot; Cover by JIHYO,2021-05-18T14:59:58Z,2888421,56892,579572,5660,2021-05-19T17:47:58.365526
4,4,twenty one pilots,Twenty One Pilots - Saturday (Lyric Video),2021-05-18T16:02:45Z,1332827,19137,230687,1983,2021-05-19T17:47:58.365526
5,5,SMTOWN,TAEMIN 태민 &#39;Advice&#39; MV,2021-05-18T09:00:16Z,5576536,52757,604480,2858,2021-05-19T17:47:58.365526
6,6,Kimberly Loaiza,LE HICIMOS UNA FIESTA A KIMA Y A JUANITO 😱 Jukilop / Kimberly Loaiza,2021-05-17T20:46:45Z,9959677,58796,869283,10256,2021-05-19T17:47:58.365526
7,7,DoofCentraal,Eurovision Song Contest in International Sign - Semi-final #1,2021-05-19T09:20:51Z,2190473,8229,67618,2897,2021-05-19T17:47:58.365526
8,8,Pretty Good Gaming,Ubisoft Hasn’t Fixed its Toxic Culture | DIE HARD and RAMBO in CoD | Mass Effect Tops the Charts,2021-05-19T17:33:03Z,488009,2626,30955,767,2021-05-19T17:47:58.365526
9,9,Dude Perfect,Bucket List: South Africa,2021-05-17T21:59:59Z,6722347,29985,437160,3086,2021-05-19T17:47:58.365526
10,10,Manchester United,Cavani hits long-range stunner as fans return to Old Trafford | Manchester United 1-1 Fulham,2021-05-18T21:00:01Z,1667748,1338,35452,564,2021-05-19T17:47:58.365526
11,11,TheGrefg,COMPRANDO UN TESLA ¿ROADSTER O MODEL S? - TheGrefg,2021-05-16T21:49:44Z,3603762,30808,1115659,5167,2021-05-19T17:47:58.365526
12,12,The Tonight Show Starring Jimmy Fallon,Natti Natasha x Becky G: Ram Pam Pam | The Tonight Show Starring Jimmy Fallon,2021-05-18T04:33:15Z,409672,1193,23110,534,2021-05-19T17:47:58.365526
